id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65444,-122.33629,Entire home/apt,99,30,161,9/7/2024,0.86,2,177,1,str-opli-19-002622
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,72,2,208,10/13/2024,1.19,11,359,14,Exempt
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55495,-122.38663,Entire home/apt,185,3,108,10/28/2024,0.68,2,192,22,STR-OPLI-19-002182
9534,The Coolest Tangerine Dream MIL!,31481,Cassie,West Seattle,Fairmount Park,47.55627,-122.38607,Entire home/apt,125,2,77,12/27/2023,0.49,2,0,1,STR-OPLI-19-002182
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65608,-122.33602,Entire home/apt,,30,96,9/28/2020,0.58,2,0,0,STR -OPLI-19-002622
25002,Beautiful Private  Spot in North Ballard,102684,Amanda,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,97,2,1097,12/16/2024,6.14,1,158,64,STR-OPLI-19-002617
37234,Your Home Away From Home.  Private Parking onsite.,160789,Darrell,Ballard,Sunset Hill,47.68897,-122.39424,Entire home/apt,130,3,6,8/26/2023,0.06,2,269,0,STR-OPLI-19-002333
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65244,-122.35108,Entire home/apt,99,3,572,11/5/2024,3.47,2,358,28,STR-OPLI-19-000772
202251,Seattle Phinney Ridge Ballard,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.67757,-122.36172,Entire home/apt,175,30,34,2/6/2024,0.27,1,174,1,
210316,"""The 5-Star House""  #9 The red room",2438665,Flor,Other neighborhoods,Crown Hill,47.70085,-122.367,Private room,95,30,76,8/12/2023,0.59,4,0,0,STR-OPLI-19-002472
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.66133,-122.40088,Private room,68,1,383,11/9/2024,2.4,1,52,15,STR-OPLI-19-000684
226677,Sunny Parisian room cozy memory foam bed,30559,Angielena,Other neighborhoods,Georgetown,47.54971,-122.31753,Private room,68,2,303,10/27/2024,1.9,11,365,32,Exempt
229990,Alki Beach 1/2 block to beach,1201633,Wayne,West Seattle,Alki,47.57884,-122.41071,Entire home/apt,266,3,28,8/11/2024,0.35,1,357,9,STR-OPLI-21-000532
240920,"Quiet Greenlake home, balcony room in the trees",946910,Nathan,Other neighborhoods,Wallingford,47.66848,-122.3376,Private room,80,30,16,8/6/2018,0.11,2,324,0,
241016,Scandinavian Queen Anne Home,956883,Maija,Queen Anne,North Queen Anne,47.6411,-122.37446,Entire home/apt,278,2,156,10/14/2024,1.16,3,351,14,STR-OPLI-21-000431
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,West Queen Anne,47.63626,-122.37083,Entire home/apt,98,2,381,9/29/2024,2.38,3,140,24,STR-OPLI-21-000431
